plate	round	well	tile
1	1	A1	0
1	2	A1	0
1	3	A1	0
1	1	A1	1
1	2	A1	1
1	3	A1	1
1	1	A1	2
1	2	A1	2
1	3	A1	2
1	1	A1	3
1	2	A1	3
1	3	A1	3
1	1	A1	4
1	2	A1	4
1	3	A1	4
1	1	A1	5
1	2	A1	5
1	3	A1	5
1	1	A1	6
1	2	A1	6
1	3	A1	6
1	1	A1	7
1	2	A1	7
1	3	A1	7
1	1	A1	8
1	2	A1	8
1	3	A1	8
1	1	A1	9
1	2	A1	9
1	3	A1	9
1	1	A1	10
1	2	A1	10
1	3	A1	10
1	1	A1	11
1	2	A1	11
1	3	A1	11
1	1	A1	12
1	2	A1	12
1	3	A1	12
1	1	A1	13
1	2	A1	13
1	3	A1	13
1	1	A1	14
1	2	A1	14
1	3	A1	14
1	1	A1	15
1	2	A1	15
1	3	A1	15
1	1	A1	16
1	2	A1	16
1	3	A1	16
1	1	A1	17
1	2	A1	17
1	3	A1	17
1	1	A1	18
1	2	A1	18
1	3	A1	18
1	1	A1	19
1	2	A1	19
1	3	A1	19
1	1	A1	20
1	2	A1	20
1	3	A1	20
1	1	A1	21
1	2	A1	21
1	3	A1	21
1	1	A1	22
1	2	A1	22
1	3	A1	22
1	1	A1	23
1	2	A1	23
1	3	A1	23
1	1	A1	24
1	2	A1	24
1	3	A1	24
1	1	A1	25
1	2	A1	25
1	3	A1	25
1	1	A1	26
1	2	A1	26
1	3	A1	26
1	1	A1	27
1	2	A1	27
1	3	A1	27
1	1	A1	28
1	2	A1	28
1	3	A1	28
1	1	A1	29
1	2	A1	29
1	3	A1	29
1	1	A1	30
1	2	A1	30
1	3	A1	30
1	1	A1	31
1	2	A1	31
1	3	A1	31
1	1	A1	32
1	2	A1	32
1	3	A1	32
1	1	A1	33
1	2	A1	33
1	3	A1	33
1	1	A1	34
1	2	A1	34
1	3	A1	34
1	1	A1	35
1	2	A1	35
1	3	A1	35
1	1	A1	36
1	2	A1	36
1	3	A1	36
1	1	A1	37
1	2	A1	37
1	3	A1	37
1	1	A1	38
1	2	A1	38
1	3	A1	38
1	1	A1	39
1	2	A1	39
1	3	A1	39
1	1	A1	40
1	2	A1	40
1	3	A1	40
1	1	A1	41
1	2	A1	41
1	3	A1	41
1	1	A1	42
1	2	A1	42
1	3	A1	42
1	1	A1	43
1	2	A1	43
1	3	A1	43
1	1	A1	44
1	2	A1	44
1	3	A1	44
1	1	A1	45
1	2	A1	45
1	3	A1	45
