plate	cycle	well	tile
1	1	A1	0
1	2	A1	0
1	3	A1	0
1	4	A1	0
1	5	A1	0
1	6	A1	0
1	7	A1	0
1	8	A1	0
1	9	A1	0
1	10	A1	0
1	11	A1	0
1	12	A1	0
1	13	A1	0
1	14	A1	0
1	15	A1	0
1	1	A1	1
1	2	A1	1
1	3	A1	1
1	4	A1	1
1	5	A1	1
1	6	A1	1
1	7	A1	1
1	8	A1	1
1	9	A1	1
1	10	A1	1
1	11	A1	1
1	12	A1	1
1	13	A1	1
1	14	A1	1
1	15	A1	1
1	1	A1	2
1	2	A1	2
1	3	A1	2
1	4	A1	2
1	5	A1	2
1	6	A1	2
1	7	A1	2
1	8	A1	2
1	9	A1	2
1	10	A1	2
1	11	A1	2
1	12	A1	2
1	13	A1	2
1	14	A1	2
1	15	A1	2
1	1	A1	3
1	2	A1	3
1	3	A1	3
1	4	A1	3
1	5	A1	3
1	6	A1	3
1	7	A1	3
1	8	A1	3
1	9	A1	3
1	10	A1	3
1	11	A1	3
1	12	A1	3
1	13	A1	3
1	14	A1	3
1	15	A1	3
1	1	A1	4
1	2	A1	4
1	3	A1	4
1	4	A1	4
1	5	A1	4
1	6	A1	4
1	7	A1	4
1	8	A1	4
1	9	A1	4
1	10	A1	4
1	11	A1	4
1	12	A1	4
1	13	A1	4
1	14	A1	4
1	15	A1	4
1	1	A1	5
1	2	A1	5
1	3	A1	5
1	4	A1	5
1	5	A1	5
1	6	A1	5
1	7	A1	5
1	8	A1	5
1	9	A1	5
1	10	A1	5
1	11	A1	5
1	12	A1	5
1	13	A1	5
1	14	A1	5
1	15	A1	5
1	1	A1	6
1	2	A1	6
1	3	A1	6
1	4	A1	6
1	5	A1	6
1	6	A1	6
1	7	A1	6
1	8	A1	6
1	9	A1	6
1	10	A1	6
1	11	A1	6
1	12	A1	6
1	13	A1	6
1	14	A1	6
1	15	A1	6
1	1	A1	7
1	2	A1	7
1	3	A1	7
1	4	A1	7
1	5	A1	7
1	6	A1	7
1	7	A1	7
1	8	A1	7
1	9	A1	7
1	10	A1	7
1	11	A1	7
1	12	A1	7
1	13	A1	7
1	14	A1	7
1	15	A1	7
1	1	A1	8
1	2	A1	8
1	3	A1	8
1	4	A1	8
1	5	A1	8
1	6	A1	8
1	7	A1	8
1	8	A1	8
1	9	A1	8
1	10	A1	8
1	11	A1	8
1	12	A1	8
1	13	A1	8
1	14	A1	8
1	15	A1	8
1	1	A1	9
1	2	A1	9
1	3	A1	9
